Device,VLAN,VLAN_Name,SVI_IP,SVI_MAC,SVI_MAC_Company,SVI_Description,MAC_Count,ARP_Count,Traffic_Check,Traffic_Ports,Traffic_Statistics,MAC_Address,MAC_Company,ARP_Check,ARP_Missing_MACs,Root_Bridge,Shutdown_Recommendation
DDC1-USON-ASW1,120,USON_IKM,,,,,7,0,TRAFFIC_DETECTED,Po2,Po2: IN 14849800 bps / OUT 11615240 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.1770; 0050.569f.661b; 0050.569f.7d08; 0050.569f.bbc9,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; VMware, Inc.; VMware, Inc.; VMware, Inc.; VMware, Inc.",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.1770; 0050.569f.661b; 0050.569f.7d08; 0050.569f.bbc9,NO,
DDC1-USON-ASW1,121,VM_MGMT,,,,,5,0,TRAFFIC_DETECTED,Po2,Po2: IN 13065240 bps / OUT 10626520 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.7f3e; 0050.569f.9188,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; VMware, Inc.; VMware, Inc.",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.7f3e; 0050.569f.9188,NO,
DDC1-USON-ASW1,122,VM_VMOTION,,,,,8,0,TRAFFIC_DETECTED,Po2,Po2: IN 12808032 bps / OUT 11528232 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.3d37; 0050.569f.479c; 0050.569f.6b6d; 0050.569f.713c; 0050.569f.fa87,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; VMware, Inc.; VMware, Inc.; VMware, Inc.; VMware, Inc.; VMware, Inc.",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.3d37; 0050.569f.479c; 0050.569f.6b6d; 0050.569f.713c; 0050.569f.fa87,NO,
DDC1-USON-ASW1,123,USON_ILO_1,,,,,18,0,TRAFFIC_DETECTED,Po2; Eth146/1/39; Eth140/1/48; Eth146/1/47; Eth146/1/1,Po2: IN 15190448 bps / OUT 11266888 bps; Eth146/1/39: IN 0 bps / OUT 1672 bps; Eth140/1/48: IN 19816 bps / OUT 3944 bps; Eth146/1/47: IN 31752 bps / OUT 41096 bps; Eth146/1/1: IN 0 bps / OUT 1592 bps,0000.0c9f.f00a; 001e.676d.9ad4; 0021.5a04.2a1b; 0021.5a04.3ad2; 0023.e904.bc04; 0026.980a.c843; 0026.9822.8bc3; 02c4.7ab3.702e; 0cc4.7ab3.702e; 14a9.d006.c702; 2c27.d716.45f6; 3c4a.926c.a4f4; 7267.f0c6.1fc2; 78e3.b50b.d37d; b499.baa7.555e; b499.baa7.5f86; b499.baa7.6008; b499.baa7.6238,"Cisco Systems, Inc; Intel Corporate; Hewlett Packard; Hewlett Packard; F5 Inc.; Cisco Systems, Inc; Cisco Systems, Inc; Locally administered/randomized MAC; Super Micro Computer, Inc.; F5 Inc.; Hewlett Packard; Hewlett Packard; Locally administered/randomized MAC; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard",MISSING_ARP,0000.0c9f.f00a; 001e.676d.9ad4; 0021.5a04.2a1b; 0021.5a04.3ad2; 0023.e904.bc04; 0026.980a.c843; 0026.9822.8bc3; 02c4.7ab3.702e; 0cc4.7ab3.702e; 14a9.d006.c702; 2c27.d716.45f6; 3c4a.926c.a4f4; 7267.f0c6.1fc2; 78e3.b50b.d37d; b499.baa7.555e; b499.baa7.5f86; b499.baa7.6008; b499.baa7.6238,NO,
DDC1-USON-ASW1,124,USON_JCAP_1,,,,,0,0,NOT_CHECKED,,,,,NO_MACS,,NO,VLAN
DDC1-USON-ASW1,125,USON_JCAP_2,,,,,0,0,NOT_CHECKED,,,,,NO_MACS,,NO,VLAN
DDC1-USON-ASW1,126,USON_CITRIX3,,,,,4,0,TRAFFIC_DETECTED,Po2; Eth100/1/1,Po2: IN 15358008 bps / OUT 9941744 bps; Eth100/1/1: IN 37760 bps / OUT 71648 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 14a9.d006.c709,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; F5 Inc.",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3; 14a9.d006.c709,NO,
DDC1-USON-ASW1,127,USON_CITRIX4,,,,,3,0,TRAFFIC_DETECTED,Po2,Po2: IN 15280352 bps / OUT 10464240 bps,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3,"Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc",MISSING_ARP,0000.0c9f.f00a; 0026.980a.c843; 0026.9822.8bc3,NO,
DDC1-USON-ASW1,128,USON_MGMNT,,,,,22,0,TRAFFIC_DETECTED,Po2; Eth140/1/46; Eth142/1/47; Eth140/1/29; Eth140/1/21; Eth140/1/43; Eth140/1/4; Eth146/1/44; Eth146/1/34; Eth144/1/47,Po2: IN 15192032 bps / OUT 9350960 bps; Eth140/1/46: IN 184 bps / OUT 1640 bps; Eth142/1/47: IN 1632 bps / OUT 808 bps; Eth140/1/29: IN 9280 bps / OUT 7616 bps; Eth140/1/21: IN 2712 bps / OUT 3104 bps; Eth140/1/43: IN 14832 bps / OUT 3952 bps; Eth140/1/4: IN 424 bps / OUT 3152 bps; Eth146/1/44: IN 752 bps / OUT 6320 bps; Eth146/1/34: IN 16 bps / OUT 1880 bps; Eth144/1/47: IN 0 bps / OUT 1800 bps,0000.0c9f.f00a; 001b.9700.4f0d; 0021.5a04.cabe; 0021.5a04.cad2; 0023.3353.d390; 0026.980a.c843; 0026.9822.8bc3; 0090.fb51.a3b4; 00c0.ff12.84e8; 00e0.2719.a06e; 1c98.ec1e.284f; 1c98.ec1e.5a5b; 2c27.d716.a84e; 2c27.d716.b802; 2c59.e59a.5b90; 3cd9.2b02.2b54; 9457.a5c4.42b3; b05a.daa7.2de4; b05a.daa7.3471; c4f5.7c7c.b349; e839.35ec.2012; f4ce.46ae.1b87,"Cisco Systems, Inc; Violin Technologies; Hewlett Packard; Hewlett Packard; Cisco Systems, Inc; Cisco Systems, Inc; Cisco Systems, Inc; PORTWELL, INC.; Seagate Cloud Systems Inc; DUX, INC.; Hewlett Packard Enterprise; Hewlett Packard Enterprise; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Brocade Communications Systems LLC; Hewlett Packard; Hewlett Packard",MISSING_ARP,0000.0c9f.f00a; 001b.9700.4f0d; 0021.5a04.cabe; 0021.5a04.cad2; 0023.3353.d390; 0026.980a.c843; 0026.9822.8bc3; 0090.fb51.a3b4; 00c0.ff12.84e8; 00e0.2719.a06e; 1c98.ec1e.284f; 1c98.ec1e.5a5b; 2c27.d716.a84e; 2c27.d716.b802; 2c59.e59a.5b90; 3cd9.2b02.2b54; 9457.a5c4.42b3; b05a.daa7.2de4; b05a.daa7.3471; c4f5.7c7c.b349; e839.35ec.2012; f4ce.46ae.1b87,NO,
DDC1-USON-ASW1,129,USON_AD_PRI,,,,,11,0,TRAFFIC_DETECTED,Po2; Po50; Po30,Po2: IN 19790536 bps / OUT 13685312 bps; Po50: IN 256 bps / OUT 72688 bps; Po30: IN 461088 bps / OUT 2433136 bps,0000.0c9f.f00a; 000c.29eb.abe4; 0017.a477.084c; 0017.a477.c024; 0017.a477.c026; 0017.a477.c032; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.1855; 0050.569f.38b9; 0050.569f.ffab,"Cisco Systems, Inc; VMware, Inc.; Hewlett Packard; Hewlett Packard; Hewlett Packard; Hewlett Packard; Cisco Systems, Inc; Cisco Systems, Inc; VMware, Inc.; VMware, Inc.; VMware, Inc.",MISSING_ARP,0000.0c9f.f00a; 000c.29eb.abe4; 0017.a477.084c; 0017.a477.c024; 0017.a477.c026; 0017.a477.c032; 0026.980a.c843; 0026.9822.8bc3; 0050.569f.1855; 0050.569f.38b9; 0050.569f.ffab,NO,
